"","x"
"136","Benz(a)anthracene sediment  (ug/Kg)"
"137","o-Cresol sediment  (ug/Kg)"
"138","PCB-aroclor 1221 sediment  (ug/Kg)"
"139","Copper sediment  (ug/Kg)"
"140","2,4-Dimethylphenol sediment  (ug/Kg)"
"141","Benzo(a)pyrene sediment  (ug/Kg)"
"142","p-Cresol sediment  (ug/Kg)"
"143","Benzo(b)fluoranthene sediment  (ug/Kg)"
"144","Butyl benzyl phthalate sediment  (ug/Kg)"
"145","Benzo(g,h,i)perylene sediment  (ug/Kg)"
"146","PCB-aroclor 1016 sediment  (ug/Kg)"
"147","Cadmium sediment  (ug/Kg)"
"148","Benzo(k)fluoranthene sediment  (ug/Kg)"
"149","Indeno(1,2,3-cd)pyrene sediment  (ug/Kg)"
"150","Diazinon sediment  (ug/Kg)"
"151","Chlorpyrifos sediment  (ug/Kg)"
"152","Zinc sediment  (ug/Kg)"
"153","Solids sediment  (%)"
"154","Benzofluoranthenes, Total sediment  (ug/Kg)"
"155","2,4,6-Trichlorophenol sediment  (ug/Kg)"
"156","2,4-Dichlorophenol sediment  (ug/Kg)"
"157","2-Nitrophenol sediment  (ug/Kg)"
"158","2,4,5-Trichlorophenol sediment  (ug/Kg)"
"159","Mecoprop sediment  (ug/Kg)"
"160","Triclopyr sediment  (ug/Kg)"
"161","2,4-D sediment  (ug/Kg)"
"162","Dichlobenil sediment  (ug/Kg)"
"163","Prometon sediment  (ug/Kg)"
"164","Total Phosphorus sediment  (ug/Kg)"
"165","Heavy Fuel Oil sediment  (ug/Kg)"
"166","Diesel Range Organics sediment  (ug/Kg)"
"167","1-Methylnaphthalene sediment  (ug/Kg)"
"168","4-Nitrophenol sediment  (ug/Kg)"
"169","4-Chloro-3-Methylphenol sediment  (ug/Kg)"
"170","Motor Oil sediment  (ug/Kg)"
"171","Diesel Fuel sediment  (ug/Kg)"
"172","Benzo(b,k)fluoranthene sediment  (ug/Kg)"
