"","Location_ID","Field_Collection_Start_Date","Field_Collection_End_Date","start","end","new_Result_Value","storm_length","id"
"1305","KICCOMS8D_OUT",2010-11-01,2010-11-01,14914,14914,357.7,0,38
"1451","KICCOMS8D_OUT",2010-11-29,2010-11-30,14942,14943,412.8,1,39
"1463","KICCOMS8D_OUT",2010-12-07,2010-12-08,14950,14951,388.6,1,40
"417","KICCOMS8D_OUT",2011-01-05,2011-01-06,14979,14980,287.8,1,41
"480","KICCOMS8D_OUT",2011-01-20,2011-01-21,14994,14995,818.7,1,42
"615","KICCOMS8D_OUT",2011-02-12,2011-02-12,15017,15017,183.5,0,43
"886","KICCOMS8D_OUT",2011-04-13,2011-04-14,15077,15078,298.8,1,44
"955","KICCOMS8D_OUT",2011-04-26,2011-04-27,15090,15091,245.3,1,45
"1197","KICCOMS8D_OUT",2011-10-10,2011-10-12,15257,15259,303,2,46
"1274","KICCOMS8D_OUT",2011-10-28,2011-10-28,15275,15275,52,0,47
"1320","KICCOMS8D_OUT",2011-11-02,2011-11-03,15280,15281,35.7,1,48
"1437","KICCOMS8D_OUT",2011-11-16,2011-11-17,15294,15295,166.2,1,49
"1220","KICCOMS8D_OUT",2012-10-18,2012-10-19,15631,15632,68.1,1,50
"1409","KICCOMS8D_OUT",2012-11-23,2012-11-23,15667,15667,129,0,51
"1467","KICCOMS8D_OUT",2012-12-09,2012-12-10,15683,15684,50,1,52
"1487","KICCOMS8D_OUT",2012-12-13,2012-12-14,15687,15688,32.2,1,53
"1502","KICCOMS8D_OUT",2012-12-15,2012-12-15,15689,15689,30.8,0,54
"523","KICCOMS8D_OUT",2013-01-23,2013-01-23,15728,15728,9.1,0,55
"593","KICCOMS8D_OUT",2013-02-05,2013-02-06,15741,15742,30.9,1,56
"668","KICCOMS8D_OUT",2013-02-25,2013-02-25,15761,15761,19.3,0,57
"694","KICCOMS8D_OUT",2013-03-02,2013-03-03,15766,15767,41,1,58
"724","KICCOMS8D_OUT",2013-03-06,2013-03-07,15770,15771,49.6,1,59
"753","KICCOMS8D_OUT",2013-03-13,2013-03-13,15777,15777,41.7,0,60
"1155","KICHDRS8D_OUT",2009-09-19,2009-09-19,14506,14506,147,0,61
"1210","KICHDRS8D_OUT",2009-10-13,2009-10-14,14530,14531,20.7,1,62
"1344","KICHDRS8D_OUT",2009-11-05,2009-11-08,14553,14556,405,3,63
"662","KICHDRS8D_OUT",2010-02-24,2010-02-24,14664,14664,146.6,0,64
"738","KICHDRS8D_OUT",2010-03-11,2010-03-12,14679,14680,83.2,1,65
"806","KICHDRS8D_OUT",2010-03-25,2010-03-26,14693,14694,6.5,1,66
"841","KICHDRS8D_OUT",2010-04-02,2010-04-03,14701,14702,97.8,1,67
"1128","KICHDRS8D_OUT",2010-08-31,2010-09-01,14852,14853,79,1,68
"1298","KICHDRS8D_OUT",2010-11-01,2010-11-01,14914,14914,95.4,0,69
"1455","KICHDRS8D_OUT",2010-11-30,2010-11-30,14943,14943,99.7,0,70
"481","KICHDRS8D_OUT",2011-01-20,2011-01-21,14994,14995,158.5,1,71
"589","KICHDRS8D_OUT",2011-02-04,2011-02-04,15009,15009,28.9,0,72
"617","KICHDRS8D_OUT",2011-02-12,2011-02-12,15017,15017,85.7,0,73
"956","KICHDRS8D_OUT",2011-04-26,2011-04-27,15090,15091,81.4,1,74
"1198","KICHDRS8D_OUT",2011-10-10,2011-10-12,15257,15259,58.3,2,75
"1393","KICHDRS8D_OUT",2011-11-16,2011-11-17,15294,15295,105.2,1,76
"1069","KICHDRS8D_OUT",2012-06-22,2012-06-23,15513,15514,24.3,1,77
"1221","KICHDRS8D_OUT",2012-10-18,2012-10-19,15631,15632,38.9,1,78
"1411","KICHDRS8D_OUT",2012-11-23,2012-11-23,15667,15667,112.2,0,79
"1484","KICHDRS8D_OUT",2012-12-11,2012-12-11,15685,15685,8.5,0,80
"526","KICHDRS8D_OUT",2013-01-23,2013-01-23,15728,15728,5.6,0,81
"1145","KICLDRS8D_OUT",2009-09-19,2009-09-19,14506,14506,2.3,0,82
"1227","KICLDRS8D_OUT",2009-10-21,2009-10-21,14538,14538,2.2,0,83
"1489","KICLDRS8D_OUT",2009-12-14,2009-12-15,14592,14593,16.3,1,84
"471","KICLDRS8D_OUT",2010-01-10,2010-01-11,14619,14620,271.6,1,85
"570","KICLDRS8D_OUT",2010-01-30,2010-02-01,14639,14641,74.6,2,86
"588","KICLDRS8D_OUT",2010-02-04,2010-02-06,14644,14646,71.9,2,87
"659","KICLDRS8D_OUT",2010-02-23,2010-02-24,14663,14664,48.3,1,88
"795","KICLDRS8D_OUT",2010-03-25,2010-03-28,14693,14696,56.1,3,89
"873","KICLDRS8D_OUT",2010-04-13,2010-04-14,14712,14713,22,1,90
"905","KICLDRS8D_OUT",2010-04-20,2010-04-23,14719,14722,222.3,3,91
"933","KICLDRS8D_OUT",2010-04-26,2010-04-27,14725,14726,28,1,92
"1047","KICLDRS8D_OUT",2010-06-15,2010-06-16,14775,14776,157.4,1,93
"1250","KICLDRS8D_OUT",2010-10-23,2010-10-25,14905,14907,157.4,2,94
"1447","KICLDRS8D_OUT",2010-11-29,2010-12-02,14942,14945,252.3,3,95
"1458","KICLDRS8D_OUT",2010-12-07,2010-12-08,14950,14951,155.4,1,96
"513","KICLDRS8D_OUT",2011-01-20,2011-01-23,14994,14997,900.5,3,97
"791","KICLDRS8D_OUT",2011-03-24,2011-03-25,15057,15058,27.7,1,98
"959","KICLDRS8D_OUT",2011-04-27,2011-04-29,15091,15093,1599.9,2,99
"1012","KICLDRS8D_OUT",2011-05-25,2011-05-26,15119,15120,45.3,1,100
"1077","KICLDRS8D_OUT",2011-07-12,2011-07-12,15167,15167,3,0,101
"1202","KICLDRS8D_OUT",2011-10-10,2011-10-11,15257,15258,13.7,1,102
"1272","KICLDRS8D_OUT",2011-10-28,2011-10-28,15275,15275,9,0,103
"1309","KICLDRS8D_OUT",2011-11-02,2011-11-03,15280,15281,6.7,1,104
"1436","KICLDRS8D_OUT",2011-11-16,2011-11-17,15294,15295,10.4,1,105
"1223","KICLDRS8D_OUT",2012-10-18,2012-10-19,15631,15632,19,1,106
"427","KICLDRS8D_OUT",2013-01-03,2013-01-04,15708,15709,26.3,1,107
"696","KICLDRS8D_OUT",2013-03-02,2013-03-03,15766,15767,95.8,1,108
"752","KICLDRS8D_OUT",2013-03-13,2013-03-14,15777,15778,40.4,1,109
"656","LDR010",2010-02-23,2010-02-25,14663,14665,1025.06816,2,110
"666","LDR010",2010-02-25,2010-02-27,14665,14667,2150.091792,2,111
"815","LDR010",2010-03-28,2010-03-28,14696,14696,418.3552349,0,112
"936","LDR010",2010-04-26,2010-04-28,14725,14727,551.7811648,2,113
"1251","LDR010",2010-10-23,2010-10-25,14905,14907,187.4147408,2,114
"1265","LDR010",2010-10-28,2010-10-29,14910,14911,41.50676544,1,115
"1383","LDR010",2010-11-17,2010-11-19,14930,14932,3471.970987,2,116
"447","LDR010",2011-01-05,2011-01-06,14979,14980,1115.537504,1,117
"727","LDR010",2011-03-08,2011-03-08,15041,15041,336.678257,0,118
"787","LDR010",2011-03-23,2011-03-24,15056,15057,279.7529939,1,119
"827","LDR010",2011-03-28,2011-03-30,15061,15063,910.7050998,2,120
"863","LDR010",2011-04-04,2011-04-05,15068,15069,1336.18201,1,121
"980","LDR010",2011-05-11,2011-05-12,15105,15106,170.0650374,1,122
"993","LDR010",2011-05-15,2011-05-16,15109,15110,647.1294938,1,123
"1406","LDR010",2011-11-21,2011-11-24,15299,15302,1452.65184,3,124
"547","LDR010",2012-01-24,2012-01-26,15363,15365,1681.71493,2,125
"562","LDR010",2012-01-29,2012-01-31,15368,15370,538.8233971,2,126
"642","LDR010",2012-02-20,2012-02-21,15390,15391,366.4533722,1,127
"682","LDR010",2012-02-28,2012-03-01,15398,15400,1307.740616,2,128
"719","LDR010",2012-03-05,2012-03-06,15404,15405,444.777641,1,129
"730","LDR010",2012-03-10,2012-03-12,15409,15411,504.8460688,2,130
"809","LDR010",2012-03-27,2012-03-28,15426,15427,251.7703322,1,131
"829","LDR010",2012-03-28,2012-03-30,15427,15429,2714.221914,2,132
"819","MH5171",2010-03-28,2010-03-28,14696,14696,649.3353725,0,133
"894","MH5171",2010-04-15,2010-04-15,14714,14714,249.3945526,0,134
"929","MH5171",2010-04-26,2010-04-27,14725,14726,1694.899232,1,135
"998","MH5171",2010-05-17,2010-05-18,14746,14747,650.5671533,1,136
"1190","MH5171",2010-10-09,2010-10-09,14891,14891,947.4206627,0,137
"1262","MH5171",2010-10-28,2010-10-29,14910,14911,449.9482886,1,138
"450","MH5171",2011-01-05,2011-01-06,14979,14980,415.752921,1,139
"624","MH5171",2011-02-12,2011-02-13,15017,15018,715.7609219,1,140
"704","MH5171",2011-03-04,2011-03-05,15037,15038,886.6641366,1,141
"786","MH5171",2011-03-23,2011-03-24,15056,15057,209.3744192,1,142
"867","MH5171",2011-04-04,2011-04-05,15068,15069,945.9453574,1,143
"883","MH5171",2011-04-13,2011-04-15,15077,15079,2740.692458,2,144
"913","MH5171",2011-04-24,2011-04-25,15088,15089,1712.486797,1,145
"979","MH5171",2011-05-11,2011-05-12,15105,15106,454.8187782,1,146
"992","MH5171",2011-05-15,2011-05-16,15109,15110,829.549151,1,147
"1071","MH5171",2011-06-28,2011-06-28,15153,15153,59.12831008,0,148
"1166","MH5171",2011-09-25,2011-09-26,15242,15243,413.0345082,1,149
"1327","MH5171",2011-11-02,2011-11-03,15280,15281,1666.047245,1,150
"1427","MH5171",2011-11-16,2011-11-18,15294,15296,2319.706593,2,151
"1396","MH5171",2011-11-21,2011-11-24,15299,15302,11128.07482,3,152
"1422","MH5171",2011-11-27,2011-11-27,15305,15305,1294.219344,0,153
"568","MH5171",2012-01-29,2012-01-30,15368,15369,344.7853568,1,154
"638","MH5171",2012-02-20,2012-02-21,15390,15391,224.0340266,1,155
"683","MH5171",2012-02-28,2012-03-02,15398,15401,982.5872966,3,156
"721","MH5171",2012-03-05,2012-03-06,15404,15405,339.0568682,1,157
"774","MH5171",2012-03-20,2012-03-22,15419,15421,2078.928842,2,158
"1051","MH5171",2012-06-18,2012-06-18,15509,15509,182.0402122,0,159
"45345","PIECOMM_OUT",2010-11-05,2010-11-07,14918,14920,598.9258051,2,160
"45352","PIECOMM_OUT",2010-11-09,2010-11-10,14922,14923,347.438641,1,161
"45374","PIECOMM_OUT",2010-11-17,2010-11-19,14930,14932,1261.564127,2,162
"45382","PIECOMM_OUT",2010-12-11,2010-12-13,14954,14956,1535.248548,2,163
"45190","PIECOMM_OUT",2011-01-12,2011-01-13,14986,14987,1439.374092,1,164
"45231","PIECOMM_OUT",2011-02-27,2011-02-28,15032,15033,752.5246234,1,165
"45255","PIECOMM_OUT",2011-03-18,2011-03-19,15051,15052,286.2998381,1,166
"45313","PIECOMM_OUT",2011-07-25,2011-07-25,15180,15180,126.9668395,0,167
"45320","PIECOMM_OUT",2011-10-05,2011-10-06,15252,15253,184.6142376,1,168
"45324","PIECOMM_OUT",2011-10-21,2011-10-23,15268,15270,755.4041871,2,169
"45330","PIECOMM_OUT",2011-10-28,2011-10-29,15275,15276,297.8445974,1,170
"45336","PIECOMM_OUT",2011-11-02,2011-11-03,15280,15281,425.3211677,1,171
"45363","PIECOMM_OUT",2011-11-16,2011-11-18,15294,15296,608.3298144,2,172
"45185","PIECOMM_OUT",2012-01-04,2012-01-06,15343,15345,994.3274419,2,173
"45196","PIECOMM_OUT",2012-01-14,2012-01-15,15353,15354,274.2963749,1,174
"45204","PIECOMM_OUT",2012-01-24,2012-01-25,15363,15364,1372.95987,1,175
"45213","PIECOMM_OUT",2012-01-29,2012-01-30,15368,15369,1688.465939,1,176
"45218","PIECOMM_OUT",2012-01-31,2012-02-01,15370,15371,631.2664224,1,177
"45234","PIECOMM_OUT",2012-03-05,2012-03-05,15404,15404,346.5469449,0,178
"45247","PIECOMM_OUT",2012-03-10,2012-03-11,15409,15410,1277.135535,1,179
"45259","PIECOMM_OUT",2012-04-03,2012-04-04,15433,15434,326.3114765,1,180
"45288","PIECOMM_OUT",2012-04-24,2012-04-26,15454,15456,704.3067763,2,181
"45300","PIECOMM_OUT",2012-05-20,2012-05-21,15480,15481,332.6572714,1,182
"45306","PIECOMM_OUT",2012-06-22,2012-06-23,15513,15514,133.4145749,1,183
"45201","PIECOMM_OUT",2013-01-23,2013-01-23,15728,15728,186.1178314,0,184
"45208","PIECOMM_OUT",2013-01-24,2013-01-25,15729,15730,390.3046128,1,185
"45269","PIECOMM_OUT",2013-04-04,2013-04-05,15799,15800,717.8648318,1,186
"45281","PIECOMM_OUT",2013-04-18,2013-04-19,15813,15814,812.5420526,1,187
"45353","PIEHIRES_OUT",2010-11-09,2010-11-10,14922,14923,1129.85731,1,188
"45371","PIEHIRES_OUT",2010-11-17,2010-11-19,14930,14932,7169.932691,2,189
"45193","PIEHIRES_OUT",2011-01-12,2011-01-13,14986,14987,9342.001151,1,190
"45252","PIEHIRES_OUT",2011-03-18,2011-03-19,15051,15052,3688.945635,1,191
"45272","PIEHIRES_OUT",2011-04-10,2011-04-11,15074,15075,2372.766443,1,192
"45291","PIEHIRES_OUT",2011-04-25,2011-04-26,15089,15090,910.8636739,1,193
"45295","PIEHIRES_OUT",2011-05-02,2011-05-02,15096,15096,463.2939965,0,194
"45304","PIEHIRES_OUT",2011-05-25,2011-05-26,15119,15120,1798.586916,1,195
"45187","PIEHIRES_OUT",2012-01-04,2012-01-05,15343,15344,6718.336364,1,196
"45214","PIEHIRES_OUT",2012-01-29,2012-01-30,15368,15369,14804.73662,1,197
"45244","PIEHIRES_OUT",2012-03-10,2012-03-11,15409,15410,12535.36881,1,198
"45261","PIEHIRES_OUT",2012-04-03,2012-04-04,15433,15434,3086.044066,1,199
"45276","PIEHIRES_OUT",2012-04-11,2012-04-12,15441,15442,1452.652123,1,200
"45365","PIEHIRES_OUT",2012-11-16,2012-11-18,15660,15662,1695.346921,2,201
"45220","PIEHIRES_OUT",2013-02-05,2013-02-07,15741,15743,5859.029088,2,202
"45268","PIEHIRES_OUT",2013-04-04,2013-04-07,15799,15802,32182.2131,3,203
"45282","PIEHIRES_OUT",2013-04-18,2013-04-19,15813,15814,8140.966733,1,204
"45340","PIELORES_OUT",2010-11-05,2010-11-08,14918,14921,327.6873898,3,205
"45348","PIELORES_OUT",2010-11-09,2010-11-10,14922,14923,1867.218853,1,206
"45370","PIELORES_OUT",2010-11-17,2010-11-18,14930,14931,97.76092032,1,207
"45377","PIELORES_OUT",2010-11-29,2010-12-01,14942,14944,3356.008027,2,208
"45222","PIELORES_OUT",2011-02-12,2011-02-13,15017,15018,5122.126843,1,209
"45229","PIELORES_OUT",2011-02-27,2011-02-28,15032,15033,5883.851595,1,210
"45240","PIELORES_OUT",2011-03-08,2011-03-08,15041,15041,4687.452636,0,211
"45317","PIELORES_OUT",2011-10-02,2011-10-03,15249,15250,10219.737,1,212
"45322","PIELORES_OUT",2011-10-21,2011-10-22,15268,15269,3115.046218,1,213
"45328","PIELORES_OUT",2011-10-28,2011-10-29,15275,15276,1085.99739,1,214
"45334","PIELORES_OUT",2011-11-02,2011-11-03,15280,15281,4829.659436,1,215
"45359","PIELORES_OUT",2011-11-16,2011-11-17,15294,15295,5693.401463,1,216
"45203","PIELORES_OUT",2012-01-24,2012-01-25,15363,15364,2193.351198,1,217
"45211","PIELORES_OUT",2012-01-29,2012-01-30,15368,15369,2169.089448,1,218
"45249","PIELORES_OUT",2012-03-10,2012-03-12,15409,15411,2085.62568,2,219
"45286","PIELORES_OUT",2012-04-19,2012-04-20,15449,15450,1706.662597,1,220
"45308","PIELORES_OUT",2012-06-22,2012-06-23,15513,15514,17627.14004,1,221
"45311","PIELORES_OUT",2012-07-20,2012-07-20,15541,15541,1494.422235,0,222
"45198","PIELORES_OUT",2013-01-23,2013-01-24,15728,15729,1326.194646,1,223
"45237","PIELORES_OUT",2013-03-06,2013-03-07,15770,15771,3867.038655,1,224
"45264","PIELORES_OUT",2013-04-04,2013-04-05,15799,15800,3697.177244,1,225
"140","POSOUTFALL_6057",2009-03-20,2009-03-20,14323,14323,20.59650765,0,226
"144","POSOUTFALL_6057",2009-03-24,2009-03-25,14327,14328,61.0360129,1,227
"187","POSOUTFALL_6057",2009-04-12,2009-04-12,14346,14346,58.88988262,0,228
"201","POSOUTFALL_6057",2009-05-02,2009-05-03,14366,14367,54.23743238,1,229
"297","POSOUTFALL_6057",2009-08-10,2009-08-11,14466,14467,14.50188278,1,230
"251","POSOUTFALL_6057",2009-09-19,2009-09-19,14506,14506,30.53315594,0,231
"207","POSOUTFALL_6057",2009-10-02,2009-10-02,14519,14519,19.16169539,0,232
"344","POSOUTFALL_6057",2009-10-22,2009-10-23,14539,14540,18.94224019,1,233
"503","POSOUTFALL_6057",2009-12-14,2009-12-15,14592,14593,26.94456787,1,234
"80","POSOUTFALL_6057",2010-01-10,2010-01-11,14619,14620,69.71228042,1,235
"104","POSOUTFALL_6057",2010-01-24,2010-01-25,14633,14634,26.23664787,1,236
"46","POSOUTFALL_6057",2010-02-10,2010-02-12,14650,14652,16.56872602,2,237
"179","POSOUTFALL_6057",2010-03-25,2010-03-25,14693,14693,16.90937712,0,238
"182","POSOUTFALL_6057",2010-04-02,2010-04-02,14701,14701,24.23804813,0,239
"185","POSOUTFALL_6057",2010-04-07,2010-04-08,14706,14707,17.99957392,1,240
"206","POSOUTFALL_6057",2010-05-10,2010-05-10,14739,14739,10.44776653,0,241
"290","POSOUTFALL_6057",2010-07-02,2010-07-02,14792,14792,2.786089952,0,242
"300","POSOUTFALL_6057",2010-08-21,2010-08-22,14842,14843,3.418120928,1,243
"216","POSOUTFALL_6057",2010-08-31,2010-08-31,14852,14852,29.43163242,0,244
"243","POSOUTFALL_6057",2010-09-15,2010-09-17,14867,14869,32.37657962,2,245
"269","POSOUTFALL_6057",2010-10-08,2010-10-10,14890,14892,73.64151958,2,246
"353","POSOUTFALL_6057",2010-10-23,2010-10-25,14905,14907,65.53696826,2,247
"389","POSOUTFALL_6057",2010-11-05,2010-11-07,14918,14920,39.5311023,2,248
"398","POSOUTFALL_6057",2010-11-17,2010-11-18,14930,14931,16.99262851,1,249
"401","POSOUTFALL_6057",2010-11-25,2010-12-01,14938,14944,51.11437251,6,250
"86","POSOUTFALL_6057",2011-01-12,2011-01-12,14986,14986,69.42090054,0,251
"63","POSOUTFALL_6057",2011-03-01,2011-03-02,15034,15035,22.58746186,1,252
"75","POSOUTFALL_6057",2011-04-01,2011-04-02,15065,15066,47.8703999,1,253
"196","POSOUTFALL_6057",2011-04-25,2011-04-25,15089,15089,17.06455318,0,254
"211","POSOUTFALL_6057",2011-05-11,2011-05-11,15105,15105,12.25352886,0,255
"275","POSOUTFALL_6057",2011-05-25,2011-05-25,15119,15119,10.95888477,0,256
"247","POSOUTFALL_6057",2011-09-17,2011-09-18,15234,15235,12.78701738,1,257
"334","POSOUTFALL_6057",2011-10-10,2011-10-11,15257,15258,27.81899066,1,258
"348","POSOUTFALL_6057",2011-10-22,2011-10-22,15269,15269,15.87609709,0,259
"365","POSOUTFALL_6057",2011-10-28,2011-10-28,15275,15275,13.70334902,0,260
"312","POSOUTFALL_6057",2011-11-11,2011-11-11,15289,15289,9.906349312,0,261
"260","POSOUTFALL_6057",2011-11-16,2011-11-16,15294,15294,29.98805754,0,262
"113","POSOUTFALL_6057",2012-01-29,2012-01-30,15368,15369,24.04124637,1,263
"33","POSOUTFALL_6057",2012-02-24,2012-02-25,15394,15395,20.30880896,1,264
"192","POSOUTFALL_6057",2012-04-19,2012-04-20,15449,15450,19.05579056,1,265
"43016","POT564S8D_OUT",2009-09-19,2009-09-19,14506,14506,85.38,0,266
"43022","POT564S8D_OUT",2009-10-28,2009-10-29,14545,14546,11.56,1,267
"43037","POT564S8D_OUT",2009-12-14,2009-12-15,14592,14593,13.38,1,268
"42947","POT564S8D_OUT",2010-01-10,2010-01-11,14619,14620,38.3,1,269
"42953","POT564S8D_OUT",2010-01-24,2010-01-25,14633,14634,19.3,1,270
"42959","POT564S8D_OUT",2010-02-10,2010-02-12,14650,14652,17.86,2,271
"42968","POT564S8D_OUT",2010-03-10,2010-03-12,14678,14680,38.98,2,272
"42977","POT564S8D_OUT",2010-03-25,2010-03-26,14693,14694,12.02,1,273
"42980","POT564S8D_OUT",2010-04-02,2010-04-03,14701,14702,39.21,1,274
"43010","POT564S8D_OUT",2010-08-31,2010-09-01,14852,14853,9.33,1,275
"42983","POT564S8D_OUT",2011-04-10,2011-04-11,15074,15075,5.36,1,276
"42986","POT564S8D_OUT",2011-04-13,2011-04-15,15077,15079,10.01,2,277
"42989","POT564S8D_OUT",2011-04-25,2011-04-26,15089,15090,8.01,1,278
"42992","POT564S8D_OUT",2011-04-26,2011-04-28,15090,15092,13.15,2,279
"42995","POT564S8D_OUT",2011-05-02,2011-05-02,15096,15096,3.85,0,280
"42998","POT564S8D_OUT",2011-05-10,2011-05-12,15104,15106,9.29,2,281
"43001","POT564S8D_OUT",2011-05-14,2011-05-15,15108,15109,24.27,1,282
"43004","POT564S8D_OUT",2011-05-25,2011-05-26,15119,15120,6.34,1,283
"43013","POT564S8D_OUT",2011-09-17,2011-09-18,15234,15235,8.61,1,284
"43031","POT564S8D_OUT",2011-11-15,2011-11-17,15293,15295,18.72,2,285
"43034","POT564S8D_OUT",2011-11-18,2011-11-22,15296,15300,31.28,4,286
"42726","POT564S8D_OUT",2012-01-04,2012-01-05,15343,15344,26.65,1,287
"42950","POT564S8D_OUT",2012-01-23,2012-01-26,15362,15365,31.28,3,288
"42956","POT564S8D_OUT",2012-01-29,2012-01-30,15368,15369,40.19,1,289
"42962","POT564S8D_OUT",2012-02-24,2012-02-25,15394,15395,12.45,1,290
"42965","POT564S8D_OUT",2012-03-05,2012-03-06,15404,15405,16.42,1,291
"42971","POT564S8D_OUT",2012-03-10,2012-03-11,15409,15410,25.66,1,292
"42974","POT564S8D_OUT",2012-03-19,2012-03-21,15418,15420,13.79,2,293
"43007","POT564S8D_OUT",2012-07-20,2012-07-20,15541,15541,16.75,0,294
"343","SEAC1S8D_OUT",2009-10-22,2009-10-23,14539,14540,5515.263136,1,295
"500","SEAC1S8D_OUT",2009-12-14,2009-12-15,14592,14593,6257.163296,1,296
"408","SEAC1S8D_OUT",2009-12-31,2010-01-02,14609,14611,14343.02554,2,297
"123","SEAC1S8D_OUT",2010-01-07,2010-01-09,14616,14618,20929.51322,2,298
"102","SEAC1S8D_OUT",2010-01-24,2010-01-25,14633,14634,8187.80272,1,299
"126","SEAC1S8D_OUT",2010-02-10,2010-02-12,14650,14652,5111.1824,2,300
"28","SEAC1S8D_OUT",2010-02-23,2010-02-24,14663,14664,2597.160262,1,301
"136","SEAC1S8D_OUT",2010-03-11,2010-03-12,14679,14680,12306.48128,1,302
"173","SEAC1S8D_OUT",2010-03-25,2010-03-26,14693,14694,4107.068672,1,303
"321","SEAC1S8D_OUT",2010-08-22,2010-08-22,14843,14843,473.173728,0,304
"220","SEAC1S8D_OUT",2010-08-31,2010-08-31,14852,14852,3793.03536,0,305
"242","SEAC1S8D_OUT",2010-09-15,2010-09-16,14867,14868,1483.80032,1,306
"266","SEAC1S8D_OUT",2010-10-08,2010-10-10,14890,14892,15240.10176,2,307
"368","SEAC1S8D_OUT",2010-10-30,2010-10-31,14912,14913,5000.463712,1,308
"396","SEAC1S8D_OUT",2010-11-17,2010-11-18,14930,14931,5356.405888,1,309
"487","SEAC1S8D_OUT",2010-11-29,2010-12-01,14942,14944,5348.760352,2,310
"497","SEAC1S8D_OUT",2010-12-07,2010-12-08,14950,14951,9895.022592,1,311
"7","SEAC1S8D_OUT",2011-02-12,2011-02-12,15017,15017,3862.41152,0,312
"61","SEAC1S8D_OUT",2011-03-01,2011-03-02,15034,15035,2787.194307,1,313
"168","SEAC1S8D_OUT",2011-03-24,2011-03-25,15057,15058,987.2369152,1,314
"71","SEAC1S8D_OUT",2011-04-01,2011-04-02,15065,15066,5572.179904,1,315
"162","SEAC1S8D_OUT",2011-05-25,2011-05-25,15119,15119,2059.650765,0,316
"226","SEAC1S8D_OUT",2011-09-17,2011-09-18,15234,15235,1962.35424,1,317
"325","SEAC1S8D_OUT",2011-10-02,2011-10-03,15249,15250,1695.893152,1,318
"331","SEAC1S8D_OUT",2011-10-10,2011-10-11,15257,15258,5360.087072,1,319
"363","SEAC1S8D_OUT",2011-10-28,2011-10-28,15275,15275,2287.516054,0,320
"378","SEAC1S8D_OUT",2011-11-02,2011-11-02,15280,15280,2073.639264,0,321
"310","SEAC1S8D_OUT",2011-11-11,2011-11-12,15289,15290,1759.832486,1,322
